Transfection,Replicate,Receptor,Peptide ,0,,,1.00E-13,1.00E-12,1.00E-11,1.00E-10,1.00E-09,1.00E-08,1.00E-07,1.00E-06,1.00E-05,1.00E-04
1,1,ArCCKR,ArCCK1,208096.3333,,,250824,315068,294364,423082,569677,773885,907407,917435,833243,875585
1,2,ArCCKR,ArCCK1,242610,,,229650,256395,238099,339725,504327,657521,713006,651134,708589,670213
1,3,ArCCKR,ArCCK1,188290,,,153299,152468,169486,242710,347332,498698,694418,712999,670486,698143
2,1,ArCCKR,ArCCK1,482260.6667,,,528998,584747,638891,1040455,1637190,2363095,2672948,2657627,2373693,2409182
2,2,ArCCKR,ArCCK1,516742,,,395419,397183,454940,775310,1267006,1846973,2129207,2110553,2210045,2078993
2,3,ArCCKR,ArCCK1,490715,,,466137,470690,510781,788922,1295933,1954920,2386401,2516236,3083237,2930398
1,1,OvulCCKR1,OvulCCK2,8219.686453,,,6700.723406,7152.953179,15426.79567,101018.3499,189343.3425,209628.7847,198518.9747,200355.7738,205803.4969,220764.8631
1,2,OvulCCKR1,OvulCCK2,38356.63307,,,6564.222801,7192.688652,13068.27966,111191.665,199497.0845,222202.2534,221058.4393,235422.1726,191540.7788,242538.2446
1,3,OvulCCKR1,OvulCCK2,40075.91568,,,29592.50261,46645.87793,65104.11486,135503.2985,205860.9719,199700.3443,221058.4393,235422.1726,247347.1007,267889.9267
2,1,OvulCCKR1,OvulCCK2,19353.7358,,,11564.1718,9323.513846,100250.7061,102083.4455,208813.3958,228708.2063,230371.71,218035.1817,239137.66,258703.5421
2,2,OvulCCKR1,OvulCCK2,4630.000119,,,7135.467893,7883.451982,122130.9636,117962.0402,200643.554,204540.0172,211360.2183,208200.2863,218237.5563,238602.0118
2,3,OvulCCKR1,OvulCCK2,3717.517498,,,6851.041877,8257.942902,15993.1979,106193.7165,194180.3892,200737.2982,200090.6182,221024.804,216708.9826,261733.2486
3,1,OvulCCKR1,OvulCCK2,1814.034769,,,2319.942401,2716.916887,3266.107377,11349.1609,29059.86973,43240.81506,56256.52619,62976.76655,62921.03828,64568.39996
3,2,OvulCCKR1,OvulCCK2,1539.126068,,,2761.073805,3042.259977,2109.427927,13053.31672,30029.24136,52994.59913,58812.08593,67799.51518,62108.13963,68738.55244
3,3,OvulCCKR1,OvulCCK2,2372.376486,,,2394.986983,3198.325893,2351.643254,13710.97089,34926.98548,52051.64587,60002.73259,68524.01954,66248.17457,63104.71195
3,4,OvulCCKR1,OvulCCK2,2299.35613,,,1869.174442,3529.912293,2656.582533,11223.06115,33564.10651,53448.9893,62951.03905,67236.84797,62113.43977,54702.30082
