Transfection,Replicate,Receptor,Peptide ,0,0.000001,0.00001,0.0001
1,1,ArSREB,ArCCK1,192964,197709,193182,169938
1,2,ArSREB,ArCCK1,174597,178847,178049,200606
1,3,ArSREB,ArCCK1,190764,200369,186168,170893
1,1,ArSREB,ArCCK2,192964,192634,239002,193020
1,2,ArSREB,ArCCK2,174597,202432,219751,174421
1,3,ArSREB,ArCCK2,190764,229328,182898,177578
1,1,ArSREB,Triton,,,2549234,
2,1,ArSREB,ArCCK1,172986.6667,145015,169145,142196
2,2,ArSREB,ArCCK1,173059,159013,217467,214753
2,3,ArSREB,ArCCK1,207992,188009,164575,187728
2,1,ArSREB,ArCCK2,172986.6667,195857,173264,199561
2,2,ArSREB,ArCCK2,173059,198449,220355,219003
2,3,ArSREB,ArCCK2,207992,207621,186170,206770
2,1,ArSREB,Triton,,,1871432,
3,1,ArSREB,ArCCK1,359519,352329,395321,386242
3,2,ArSREB,ArCCK1,653005,656298,557920,453968
3,3,ArSREB,ArCCK1,544819,566985,508259,387190
3,1,ArSREB,ArCCK2,359519,551691,532949,584826
3,2,ArSREB,ArCCK2,653005,537011,561162,488455
3,3,ArSREB,ArCCK2,544819,420513,478341,458123
3,1,ArSREB,Triton,,,2408265,
1,1,Empty,ArCCK1,817870,595931,713037,623540
1,2,Empty,ArCCK1,932999,701619,849336,699646
1,3,Empty,ArCCK1,959332,868402,658404,755449
1,1,Empty,ArCCK2,817870,812676,1047664,626254
1,2,Empty,ArCCK2,932999,619030,736543,851538
1,3,Empty,ArCCK2,959332,683961,686812,733653
1,1,Empty,Triton,,,6099038,
2,1,Empty,ArCCK1,1440628.333,984848,1585360,1505710
2,2,Empty,ArCCK1,1170867,1364043,1239085,1316411
2,3,Empty,ArCCK1,1310525,986651,1135986,1469241
2,1,Empty,ArCCK2,1440628.333,1066890,1437860,1223148
2,2,Empty,ArCCK2,1170867,1390604,1244767,1286911
2,3,Empty,ArCCK2,1310525,1136313,1633743,1344773
2,1,Empty,Triton,,,8154301,
