Transfection,Replicate,Receptor,Peptide ,0,0.000001,0.00001,0.0001
1,1,Empty,OvulCCK,1818.624595,1317.60846,1853.143146,1472.305912
1,2,Empty,OvulCCK,2256.445818,1991.467301,1362.752354,1970.946258
1,3,Empty,OvulCCK,1840.561157,1272.61866,1819.587636,2005.824007
1,1,Empty,Triton ,,,17427.48164,
1,2,Empty,Triton ,,,20828.78282,
1,3,Empty,Triton ,,,21970.70451,
2,1,Empty,OvulCCK,1438.271076,1359.243691,1472.098278,2336.475144
2,2,Empty,OvulCCK,1720.32821,1131.725693,1101.18091,3352.360901
2,3,Empty,OvulCCK,2775.85758,1870.478683,1700.91611,1384.641992
2,1,Empty,Triton ,,,16433.26574,
2,2,Empty,Triton ,,,19558.73776,
2,3,Empty,Triton ,,,20636.51178,
3,1,Empty,OvulCCK,923.9474937,642.6195488,706.719624,866.1582746
3,2,Empty,OvulCCK,988.1071024,685.9522663,867.198928,791.1460106
3,3,Empty,OvulCCK,762.2720248,653.408346,674.321248,449.24883
3,1,Empty,Triton ,,,14779.36115,
3,2,Empty,Triton ,,,16997.11721,
3,3,Empty,Triton ,,,18176.80515,
4,1,Empty,OvulCCK,3297.548722,2121.432611,2247.666337,2077.84269
4,2,Empty,OvulCCK,3421.496971,4784.895413,2043.6307,2118.269968
4,3,Empty,OvulCCK,2837.238306,1999.277327,2389.27708,3165.315584
4,1,Empty,Triton ,,,14111.15666,
4,2,Empty,Triton ,,,15595.86361,
4,3,Empty,Triton ,,,16406.0028,
1,1,OvulSREB,OvulCCK,1074.320183,1102.931877,1274.254784,1785.605297
1,2,OvulSREB,OvulCCK,1073.15004,1585.664551,1167.081664,2458.981009
1,3,OvulSREB,OvulCCK,1298.741865,1371.353066,1584.485576,2084.450344
1,1,OvulSREB,Triton ,,,17210.69757,
1,2,OvulSREB,Triton ,,,19662.48534,
1,3,OvulSREB,Triton ,,,15884.43431,
2,1,OvulSREB,OvulCCK,2343.222194,1543.398835,1739.465479,1654.45678
2,2,OvulSREB,OvulCCK,1980.845398,1586.693271,1316.106632,1750.550544
2,3,OvulSREB,OvulCCK,2875.914907,1696.117131,2020.991543,1380.986303
2,1,OvulSREB,Triton ,,,15823.67114,
2,2,OvulSREB,Triton ,,,18113.02698,
2,3,OvulSREB,Triton ,,,20936.8083,
3,1,OvulSREB,OvulCCK,2472.063827,2634.094156,2450.684545,2058.932817
3,2,OvulSREB,OvulCCK,2558.79815,2081.377632,2549.478334,1981.994601
3,3,OvulSREB,OvulCCK,2256.044294,2569.336127,1941.355688,2788.283936
3,1,OvulSREB,Triton ,,,16756.62306,
3,2,OvulSREB,Triton ,,,17659.14315,
3,3,OvulSREB,Triton ,,,16848.54472,
4,1,OvulSREB,OvulCCK,4412.069745,3392.76913,3234.063835,3620.521452
4,2,OvulSREB,OvulCCK,1481.552654,2715.60875,2582.86083,3408.015402
4,3,OvulSREB,OvulCCK,2773.714104,2419.114316,3387.047177,4748.025376
4,1,OvulSREB,Triton ,,,19272.19052,
4,2,OvulSREB,Triton ,,,22804.96884,
4,3,OvulSREB,Triton ,,,18262.69051,
